PID,gender,age,generation,since last visit,active in the morning,active in the noon,active in the afternoon,active at night,ave_purchase_num,num_visits,ave_purchase_value
24d13043-51d7-11e8-8fc8-0a58ac130532,female,18,00_gen,0.26037037,0,1,1,1,1.571428571,7,6.85
65878715-6b00-11e8-8dcf-0a58ac1303bc,male,27,90_gen,22.2606713,0,0,1,0,2,1,6
20f841e5-4c34-11e8-b6f6-0a58ac130522,female,18,00_gen,19.42155093,0,1,0,0,4,1,2.2
e9dc695f-3155-4165-be65-50661938f7df,male,16,00_gen,4.497916667,0,1,1,0,1,3,4.5
36b342d6-9173-11e8-8019-0a58ac1305b1,female,52,60_gen,1.025810185,0,0,1,1,5.5,2,13.5
e7694970-4924-48ff-9c42-b0f50a6c9e13,female,32,80_gen,0.96662037,0,0,0,1,2,4,7.25
f46ed8a4-43c1-11e8-afc8-0a58ac130519,male,29,90_gen,5.274780093,0,0,1,0,1,1,3
c2f092f8-8c8a-4d2d-ae79-f2040bcc6714,male,16,00_gen,27.00984954,0,0,0,1,1,2,2
987c9e52-18b4-11e8-a72e-0a58ac13001a,male,18,00_gen,6.024166667,0,0,0,1,2.333333333,3,10.06666667
3ee1f857-bb89-4387-9cdd-660fb52fcbe9,female,18,00_gen,11.67863426,1,0,1,0,1.5,2,3.15
631f5b30-8c82-11e8-b8d6-0a58ac1305b1,female,19,00_gen,2.435231481,0,1,0,0,1,1,2.5
dbdda18b-f4fe-4bd0-a4ef-cb348e5edceb,male,31,80_gen,23.10927083,0,0,0,1,1,1,14.5
428034bf-28ce-11e8-8146-0a58ac13027d,female,21,90_gen,10.2069213,0,0,0,1,1,1,2
d2bfb92b-6c16-4be2-8ba1-0326dde72563,male,48,70_gen,0.032789352,0,0,0,1,2,3,6.3
88983fc7-4f5f-11e8-8393-0a58ac130356,female,30,80_gen,19.56818287,1,0,0,0,1,1,4
000aafec-f950-4164-a490-ba1855af7962,male,40,70_gen,22.2687037,0,0,1,0,1,2,4
4b16e03f-0feb-11e8-a675-0a58ac13001a,male,47,70_gen,0.831006944,0,0,0,1,2,1,18
efa031aa-ee34-4fb7-a6eb-843a520d57f8,female,22,90_gen,12.28258102,0,0,1,0,1,1,5.5
d7af1008-2380-11e8-803a-0a58ac130026,male,19,00_gen,23.20668981,0,0,0,1,1,1,4
41dc0f33-7de1-4692-bb54-4b130d00a121,male,32,80_gen,20.06440972,0,0,0,1,3,1,11
bcb57307-24f9-4c63-9fe1-3aacc20395c3,male,25,90_gen,6.655046296,1,0,0,0,1.333333333,3,10.83333333
93ee4042-43bd-11e8-afc4-0a58ac130519,female,23,90_gen,7.206412037,0,0,0,1,1,1,4.9
55cf3f4d-5695-11e8-a9a7-0a58ac130550,female,18,00_gen,3.246296296,0,0,0,1,1,1,2
fdf6ccec-f361-4a19-bd6c-c2bac1df3f12,male,21,90_gen,2.665856481,1,0,0,1,1.428571429,7,5.814285714
