order_num,PID,purchase_num,purchase_value,item_num,category,branches
1371352,af90ad92-442c-11e8-afda-0a58ac130519,1,1,10603552,tobacco,A
1371656,dd459894-713e-11e8-9928-0a58ac130598,1,21,10000012,tobacco,B
1371656,dd459894-713e-11e8-9928-0a58ac130598,1,19.9,32000179,household cleaning,B
1371656,dd459894-713e-11e8-9928-0a58ac130598,1,9.9,60603158,personal cleaning,B
1371656,dd459894-713e-11e8-9928-0a58ac130598,1,5,11000256,drinks,B
1371656,dd459894-713e-11e8-9928-0a58ac130598,2,8,11000299,drinks,B
1371656,dd459894-713e-11e8-9928-0a58ac130598,1,9.9,12000206,snacks,B
1371656,dd459894-713e-11e8-9928-0a58ac130598,1,4.5,12000022,snacks,B
1371656,dd459894-713e-11e8-9928-0a58ac130598,1,4.8,17122913,snacks,B
1371846,60c505a5-90db-11e8-bfae-0a58ac1305b1,1,4.5,11000253,drinks,C
1371846,60c505a5-90db-11e8-bfae-0a58ac1305b1,2,9,11000411,drinks,C
1371846,60c505a5-90db-11e8-bfae-0a58ac1305b1,1,4.5,11000065,drinks,C
1371916,871cefc3-46dc-11e8-bef0-0a58ac13033c,1,13.5,11000168,drinks,C
1372091,6c7d566e-807a-11e8-ae3c-0a58ac1303f0,2,7,11000291,dairy,B
1372091,6c7d566e-807a-11e8-ae3c-0a58ac1303f0,1,3,13000268,auxiliary meal,B
1372091,6c7d566e-807a-11e8-ae3c-0a58ac1303f0,2,25.8,18000122,snacks,B
1372107,b7a46e31-1241-4575-9789-bd4cf46816a0,1,19,10000031,tobacco,B
1372115,246c409f-074f-4739-86cf-6e6970f5ff8b,1,4,11000747,alcohol,B
1372115,246c409f-074f-4739-86cf-6e6970f5ff8b,1,16,10000014,tobacco,B
1372200,206028ad-43fc-11e8-afd5-0a58ac130519,1,11.9,12604002,snacks,C
1372762,a65914bf-929e-11e8-816a-0a58ac1305b1,1,4.5,11000411,drinks,B
1372820,360b514c-5026-11e8-83b1-0a58ac130356,1,7,60603315,dairy,B
1372820,360b514c-5026-11e8-83b1-0a58ac130356,1,5,11000412,drinks,B
1372820,360b514c-5026-11e8-83b1-0a58ac130356,1,1.5,93895468,fast food,B
1373058,f7388d91-fe0f-4b09-8480-2642404f2310,1,4.5,12604187,drinks,B
1373148,f3ee9478-e5ce-48fb-9c5c-b05daf7b990c,2,17,11000137,drinks,C
1373148,f3ee9478-e5ce-48fb-9c5c-b05daf7b990c,1,14.5,11000365,drinks,C
1373148,f3ee9478-e5ce-48fb-9c5c-b05daf7b990c,1,7,11000024,drinks,C
1373330,ef45916f-6f2a-11e8-9845-0a58ac130598,1,6,12604115,drinks,B
1373425,f4aaa4be-3c4d-4729-b292-e122df3bad9c,2,44,99001154,tobacco,A
1373425,f4aaa4be-3c4d-4729-b292-e122df3bad9c,1,14.5,11000365,drinks,A
1373484,ebebd1eb-d249-4822-88c7-537cf08f8495,2,2,61000315,household cleaning,C
1373621,b49f6fa9-7fca-11e8-87b0-0a58ac130661,1,8.5,10000008,tobacco,A
1373708,b727030f-27bd-413e-9acf-76dc92fd58ee,1,15,10000010,tobacco,C
1373708,b727030f-27bd-413e-9acf-76dc92fd58ee,2,6,11000085,drinks,C
1373733,fb20ed65-c800-4e8d-93cb-94945d2d7cd8,1,3,11000017,drinks,C
1373809,cde569e9-1d31-41c5-949e-ad93159a377d,1,3.9,99916103,household cleaning,B
1374164,f8357c85-6117-11e8-aa6b-0a58ac13039c,1,4.5,12604209,drinks,C
1374164,f8357c85-6117-11e8-aa6b-0a58ac13039c,1,0.2,50000006,shopping bag,C
1374164,f8357c85-6117-11e8-aa6b-0a58ac13039c,1,4,93895323,snacks,C
1374164,f8357c85-6117-11e8-aa6b-0a58ac13039c,1,3.5,99933081,snacks,C
1374436,4f32e090-d8f8-4cfe-9e5f-43bc14abfc70,1,21,10000012,tobacco,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,1,3,11000013,drinks,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,2,5,17122922,snacks,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,1,6,12604101,drinks,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,1,5.5,30603398,fast food,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,1,4.5,13000006,fast food,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,1,5.5,99931903,dairy,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,1,8,18000090,snacks,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,1,2,13000369,auxiliary meal,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,1,12.9,18000122,snacks,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,2,3,90087714,snacks,B
1374462,aaf82b62-455c-11e8-b079-0a58ac130519,1,4,60603277,snacks,B
1374616,9c8aa973-5246-11e8-ba21-0a58ac13035b,2,4,11000372,dairy,A
1374616,9c8aa973-5246-11e8-ba21-0a58ac13035b,1,13,10603662,tobacco,A
1374749,ad4f5eae-b241-410b-af07-0c580a7efc18,1,6,11000001,drinks,B
1374901,2d98dd70-660d-11e8-a8b8-0a58ac130590,1,8.5,10000008,tobacco,B
1374944,a0edc074-4231-11e8-b23e-0a58ac130517,4,16,10603558,tobacco,B
1374944,a0edc074-4231-11e8-b23e-0a58ac130517,3,12,30000262,household cleaning,B
1374944,a0edc074-4231-11e8-b23e-0a58ac130517,3,16.5,61000330,household cleaning,B
1374944,a0edc074-4231-11e8-b23e-0a58ac130517,1,2,11000084,drinks,B
1374999,44d8a3c2-ecf2-49e9-b41d-dcc1cd5fac80,1,7,12604183,drinks,A
1375200,12ae206a-695d-11e8-8d33-0a58ac1303bc,1,3,11000029,drinks,C
1375271,d63c080a-d4ef-4fff-9832-1ada2979b980,1,6,12000672,snacks,B
1375271,d63c080a-d4ef-4fff-9832-1ada2979b980,1,7.5,12000440,snacks,B
1375271,d63c080a-d4ef-4fff-9832-1ada2979b980,2,8,30000168,household cleaning,B
1375395,571addd0-e48e-47fe-9a13-b3cd6bc59211,2,4,11000133,drinks,C
1375853,be5dd01f-1e29-4ce3-8289-b2c02f0c577a,1,5.5,11000028,drinks,A
1375899,0446e84c-6823-4297-bad0-0b25749d8ceb,2,16,10000004,tobacco,C
1376032,01937d62-c3e1-4237-a8bf-23cba90e5a96,2,8,11000110,dairy,A
